Employee_ID,First_Name,Last_Name,Gender,Department,Location,Hire_Date,Exit_Date,Status,Salary,Engagement_Score,Performance_Rating,Tenure_Years,Risk_Score
100001,Andrew,Hancock,Male,Finance,Germany,2021-08-30,,Active,906164,4.49,3,4.46,0.1
100002,Nathaniel,Werner,Female,HR,USA,2021-11-02,2023-01-26,Terminated,952866,2.97,1,4.28,0.41
100003,Monica,Bennett,Female,HR,Germany,2021-07-10,,Active,1274757,3.15,4,4.6,0.37
100004,Deborah,Richardson,Male,HR,Germany,2021-12-18,,Active,727061,4.07,4,4.16,0.19
100005,Margaret,Carroll,Female,Marketing,Germany,2021-09-12,,Active,1225274,4.78,4,4.42,0.04
100006,Gregory,Silva,Male,IT,Germany,2021-08-08,,Active,978169,4.59,4,4.52,0.08
100007,Daniel,Gallagher,Female,Sales,USA,2021-08-24,,Active,1369584,2.28,2,4.47,0.54
100008,Vincent,Ritter,Male,Marketing,UK,2021-07-25,,Active,1071106,2.46,1,4.56,0.51
100009,Ashley,Brooks,Male,Marketing,Singapore,2021-11-12,,Active,1193988,3.61,2,4.25,0.28
100010,Glen,Allison,Female,HR,UK,2021-01-16,,Active,1071080,4.7,4,5.08,0.06
100011,Chris,Ellis,Male,Sales,UK,2021-10-07,,Active,480635,4.13,3,4.35,0.17
100012,Andrew,Carney,Male,Operations,Germany,2021-10-25,,Active,593469,3.75,1,4.3,0.25
100013,Nathan,Davis,Female,Finance,India,2021-10-21,,Active,1357854,3.82,3,4.32,0.24
100014,Michelle,Price,Male,Operations,India,2021-05-03,,Active,965178,3.22,2,4.78,0.36
100015,Emily,Russell,Female,Sales,UK,2021-11-08,,Active,1340782,3.31,4,4.27,0.34
100016,Warren,Dorsey,Male,Finance,Germany,2021-06-24,,Active,559458,3.29,2,4.64,0.34
100017,Steve,Brown,Male,Sales,UK,2021-02-17,,Active,1326328,4.86,4,4.99,0.03
100018,William,Smith,Female,IT,India,2021-04-24,,Active,1559161,3.54,5,4.81,0.29
100019,Michael,Conway,Female,Sales,UK,2021-06-17,,Active,998195,3.69,5,4.66,0.26
100020,Emma,Wright,Female,Operations,India,2021-11-19,,Active,638841,2.44,2,4.24,0.51
100021,Ian,Miller,Male,IT,Germany,2021-02-09,,Active,1423948,3.99,5,5.01,0.2
100022,Michael,Beasley,Female,HR,Germany,2021-11-15,,Active,559566,2.92,1,4.25,0.42
100023,Scott,Bates,Female,HR,Germany,2021-09-04,,Active,753114,3.98,2,4.44,0.2
100024,Joseph,Hernandez,Female,HR,Singapore,2021-10-22,,Active,1063269,3.12,5,4.31,0.38
100025,Gregory,Kline,Male,IT,Singapore,2021-04-30,,Active,1748481,3.92,3,4.79,0.22
100026,Shannon,Williams,Female,IT,Singapore,2021-02-22,,Active,1226787,4.96,5,4.98,0.01
100027,Jessica,Gonzalez,Female,Operations,UK,2021-09-13,2022-10-26,Terminated,522461,3.63,5,4.42,0.27
100028,Jose,Campbell,Male,Finance,UK,2021-03-06,,Active,1531701,3.97,5,4.94,0.21
100029,James,Love,Female,Operations,Germany,2021-02-19,,Active,583413,3.95,4,4.98,0.21
100030,Sean,Weber,Female,HR,India,2021-02-28,,Active,791172,3.43,5,4.96,0.31
100031,Veronica,Smith,Female,IT,Singapore,2021-12-28,,Active,993730,4.21,3,4.13,0.16
100032,Kenneth,Smith,Female,Sales,Germany,2021-08-27,,Active,1268874,3.2,2,4.47,0.36
100033,Jeremy,Johnson,Female,Marketing,UK,2021-08-02,,Active,891805,3.66,4,4.53,0.27
100034,Rebecca,Lopez,Male,IT,Germany,2021-05-20,,Active,1347987,3.38,4,4.74,0.32
100035,Jeff,Cruz,Female,Sales,UK,2021-04-15,,Active,1741446,4.52,5,4.83,0.1
100036,Gary,Barnes,Female,Operations,UK,2021-04-14,,Active,1010571,4.78,4,4.84,0.04
100037,Richard,Simmons,Male,Marketing,Singapore,2021-11-18,,Active,593344,4.16,5,4.24,0.17
100038,Pamela,Ramirez,Female,Marketing,UK,2021-08-06,,Active,1249779,2.61,2,4.52,0.48
100039,Marcus,Weber,Female,Marketing,UK,2021-01-09,,Active,1393199,3.21,4,5.1,0.36
100040,Amy,Ward,Female,HR,UK,2021-04-21,,Active,484832,2.77,3,4.82,0.45
100041,Matthew,Wilson,Female,Sales,Singapore,2021-10-05,,Active,871340,3.29,5,4.36,0.34
100042,Anna,Castro,Male,Sales,Singapore,2021-09-17,,Active,771534,2.71,1,4.41,0.46
100043,Micheal,Campbell,Male,Finance,Germany,2021-11-28,,Active,664375,3.98,1,4.21,0.2
100044,Michael,Rogers,Female,Marketing,UK,2021-10-01,,Active,1077818,3.05,1,4.37,0.39
100045,Mark,Reynolds,Male,Finance,USA,2021-10-26,,Active,1403037,3.41,4,4.3,0.32
100046,Danny,Davis,Male,Marketing,Germany,2021-02-15,2022-01-17,Terminated,436953,2.54,2,4.99,0.49
100047,Lucas,Patel,Male,Finance,USA,2021-04-13,,Active,982840,3.01,1,4.84,0.4
100048,Jeffrey,Moon,Female,Marketing,UK,2021-03-26,,Active,1143166,4.55,5,4.89,0.09
100049,Kenneth,Lopez,Female,IT,India,2021-11-28,,Active,1173666,2.73,3,4.21,0.45
100050,Timothy,Torres,Female,Finance,Singapore,2021-08-26,,Active,1230246,2.75,2,4.47,0.45
100051,Jennifer,James,Female,Finance,India,2021-02-27,,Active,665144,2.7,2,4.96,0.46
100052,Richard,King,Female,IT,India,2021-04-29,,Active,1348963,3.51,5,4.79,0.3
100053,Kevin,Valentine,Female,Marketing,USA,2021-05-11,,Active,1285014,3.25,3,4.76,0.35
100054,Rachel,Frederick,Male,Finance,Germany,2021-08-01,,Active,890329,3.07,4,4.54,0.39
100055,Shannon,Boone,Female,HR,USA,2021-06-27,,Active,558184,4.69,4,4.63,0.06
100056,Karen,Moore,Female,Operations,Germany,2021-08-28,2022-07-16,Resigned,1072522,3.54,4,4.46,0.29
100057,Christopher,Perry,Male,IT,Germany,2021-03-25,,Active,889702,2.87,3,4.89,0.43
100058,John,Hicks,Male,IT,UK,2021-06-03,,Active,1222566,3.0,3,4.7,0.4
100059,Lisa,White,Male,Finance,UK,2021-10-01,,Active,1083724,3.0,5,4.37,0.4
100060,Zachary,Lopez,Male,Operations,UK,2021-10-26,,Active,536584,2.99,3,4.3,0.4
100061,Kevin,Maxwell,Female,Sales,UK,2021-10-23,,Active,1065951,4.31,4,4.31,0.14
100062,Tammy,Potts,Male,Sales,Singapore,2021-08-16,,Active,833929,2.9,3,4.5,0.42
100063,April,White,Female,Operations,Germany,2021-12-26,,Active,983421,3.72,4,4.13,0.26
100064,Isaac,Hoffman,Female,HR,Singapore,2021-04-30,,Active,758907,2.66,2,4.79,0.47
100065,Ray,Cantu,Male,HR,India,2021-01-05,,Active,580824,4.74,4,5.11,0.05
100066,Albert,Thompson,Female,HR,UK,2021-08-17,,Active,785650,2.72,3,4.49,0.46
100067,James,Thornton,Male,Marketing,Singapore,2021-07-11,2023-03-11,Terminated,1005833,3.32,1,4.59,0.34
100068,Joseph,Johnson,Male,Finance,India,2021-02-14,,Active,1169349,4.96,4,5.0,0.01
100069,Jonathan,Farmer,Female,Marketing,India,2021-12-08,,Active,1043759,2.58,3,4.18,0.48
100070,Mary,Evans,Male,IT,USA,2021-09-05,,Active,1467111,2.92,3,4.44,0.42
100071,Abigail,Flores,Male,IT,Germany,2021-03-15,,Active,1011416,3.24,2,4.92,0.35
100072,Christopher,Williams,Female,Marketing,Singapore,2021-04-15,2022-03-14,Resigned,1301285,2.55,3,4.83,0.49
100073,Jason,Greene,Male,Finance,USA,2021-04-03,2021-10-05,Terminated,1511562,3.96,4,4.87,0.21
100074,Christine,Doyle,Male,HR,Singapore,2021-01-07,,Active,1344907,3.69,4,5.1,0.26
100075,Keith,Rodriguez,Male,Finance,Germany,2021-07-05,,Active,1093928,3.98,2,4.61,0.2
100076,Rebecca,Graves,Male,HR,India,2021-01-30,2022-06-12,Terminated,734018,2.4,1,5.04,0.52
100077,Bryan,Wolfe,Male,Finance,USA,2021-11-01,,Active,891840,3.81,3,4.28,0.24
100078,Brittany,Todd,Female,IT,UK,2021-05-10,,Active,1445535,2.2,1,4.76,0.56
100079,Marcus,Myers,Female,Sales,Germany,2021-08-28,,Active,1141004,3.27,1,4.46,0.35
100080,Kathleen,Stone,Male,Marketing,India,2021-04-30,,Active,1360703,4.66,4,4.79,0.07
100081,Nicholas,Burnett,Male,Finance,UK,2021-12-05,2022-06-02,Terminated,1044887,3.27,3,4.19,0.35
100082,Roberto,Jones,Female,Marketing,Germany,2021-11-21,,Active,1339122,3.61,4,4.23,0.28
100083,Tara,Jones,Male,HR,Germany,2021-02-24,,Active,1046269,3.32,4,4.97,0.34
100084,Victoria,Sullivan,Female,Operations,USA,2021-01-09,,Active,626347,3.97,2,5.1,0.21
100085,Brooke,Kelley,Male,Finance,Singapore,2021-01-21,,Active,1690386,4.35,5,5.06,0.13
100086,Matthew,Long,Male,Marketing,UK,2021-09-12,,Active,765215,2.42,2,4.42,0.52
100087,Johnny,Leonard,Male,IT,UK,2021-02-17,,Active,1714779,3.54,3,4.99,0.29
100088,Alejandro,Lee,Female,IT,India,2021-11-03,,Active,1330747,3.29,5,4.28,0.34
100089,Donald,Bennett,Male,Sales,USA,2021-01-21,,Active,1158161,3.11,5,5.06,0.38
100090,Clarence,Wise,Male,Finance,USA,2021-05-10,2022-04-19,Terminated,1020457,3.61,3,4.76,0.28
100091,Melissa,Lynch,Male,HR,UK,2021-04-10,,Active,1071950,3.75,3,4.85,0.25
100092,Robin,Lopez,Female,HR,Singapore,2021-02-09,,Active,1142331,3.15,4,5.01,0.37
100093,Jennifer,Griffin,Female,Marketing,Germany,2021-02-05,,Active,1198175,4.99,4,5.02,0.0
100094,Jessica,Wallace,Male,Marketing,Germany,2021-07-21,2021-10-23,Resigned,869004,3.9,1,4.57,0.22
100095,Jerry,Hernandez,Female,HR,UK,2021-02-18,,Active,480085,3.35,1,4.99,0.33
100096,Gregory,Bass,Female,Finance,India,2021-06-21,,Active,509031,2.61,1,4.65,0.48
100097,Taylor,Hill,Male,Sales,UK,2021-07-27,,Active,1418944,3.3,5,4.55,0.34
100098,Courtney,Reilly,Male,Marketing,Germany,2021-12-28,,Active,1131748,3.36,3,4.13,0.33
100099,John,Miller,Male,Marketing,USA,2021-05-20,,Active,1057343,2.02,2,4.74,0.6
100100,Ryan,Smith,Female,Sales,Germany,2021-08-18,,Active,1784767,4.9,5,4.49,0.02
100101,Jeffery,Jones,Female,Sales,UK,2021-03-03,,Active,450757,2.93,1,4.95,0.41
100102,Gabriel,Caldwell,Female,Operations,UK,2021-11-24,,Active,789438,3.48,3,4.22,0.3
100103,Tara,Williams,Female,Operations,India,2021-05-16,,Active,553106,4.34,3,4.75,0.13
100104,Janice,Shelton,Female,HR,USA,2021-10-03,,Active,843526,3.43,4,4.36,0.31
100105,David,Small,Female,Operations,UK,2021-11-18,,Active,408823,4.05,5,4.24,0.19
100106,Nathaniel,Hudson,Female,Operations,USA,2021-10-13,,Active,429036,2.79,3,4.34,0.44
100107,Mariah,Dawson,Female,Sales,Singapore,2021-12-03,,Active,1629585,3.72,4,4.2,0.26
100108,Denise,Ward,Female,Operations,UK,2021-10-28,,Active,608722,3.18,4,4.3,0.36
100109,Lauren,Simpson,Male,HR,USA,2021-04-06,,Active,737903,3.52,3,4.86,0.3
100110,Timothy,Kelly,Female,Sales,USA,2021-01-03,,Active,702140,4.4,3,5.11,0.12
100111,Kevin,Reed,Male,IT,India,2021-03-27,,Active,835808,3.71,2,4.88,0.26
100112,Robert,Klein,Female,Finance,Germany,2021-02-11,,Active,1336122,2.37,1,5.01,0.53
100113,Aaron,Silva,Female,Sales,Singapore,2021-03-13,2022-06-05,Resigned,1125317,3.42,3,4.92,0.32
100114,Rebecca,Garcia,Female,Operations,Germany,2021-12-28,,Active,872880,2.87,1,4.13,0.43
100115,Lisa,Powell,Male,HR,Germany,2021-11-25,,Active,692918,3.85,5,4.22,0.23
100116,Rodney,Baker,Male,Sales,Singapore,2021-08-12,,Active,1542183,3.87,3,4.51,0.23
100117,Renee,Morales,Male,Operations,India,2021-07-30,2022-08-11,Terminated,883201,3.53,5,4.54,0.29
100118,Mary,Molina,Male,HR,UK,2021-01-13,,Active,961920,2.52,3,5.08,0.5
100119,Christopher,Walker,Female,Sales,India,2021-10-14,,Active,1211943,3.28,4,4.33,0.34
100120,Casey,Moreno,Male,Finance,Singapore,2021-04-07,,Active,697703,3.16,2,4.85,0.37
100121,Bobby,Payne,Male,Sales,USA,2021-10-22,,Active,1161529,4.26,5,4.31,0.15
100122,Luis,Rodriguez,Male,Sales,Singapore,2021-06-16,,Active,670255,4.56,4,4.66,0.09
100123,Anthony,Collins,Female,IT,UK,2021-02-05,,Active,1416015,3.98,4,5.02,0.2
100124,Joshua,Wiley,Male,IT,Germany,2021-06-07,,Active,833408,3.0,2,4.69,0.4
100125,Nathaniel,Spence,Female,IT,India,2021-12-25,,Active,1258397,3.65,5,4.14,0.27
100126,Lisa,Smith,Female,Finance,UK,2021-07-18,,Active,868851,3.18,4,4.58,0.36
100127,Amber,Joseph,Male,IT,Germany,2021-06-03,,Active,1069552,3.87,1,4.7,0.23
100128,Rhonda,Perry,Male,IT,Germany,2021-12-26,,Active,1322522,2.22,1,4.13,0.56
100129,Wesley,Simpson,Male,Sales,India,2021-05-16,,Active,1445154,4.54,4,4.75,0.09
100130,Brooke,Valdez,Male,IT,Singapore,2021-05-01,,Active,1221907,4.37,4,4.79,0.13
100131,Micheal,Cox,Female,Sales,USA,2021-12-07,,Active,1594727,3.63,3,4.19,0.27
100132,Brandon,Hall,Female,Operations,Germany,2021-01-16,,Active,430151,3.67,2,5.08,0.27
100133,Sierra,Soto,Male,Marketing,UK,2021-03-17,,Active,1195981,3.52,3,4.91,0.3
100134,Christopher,Williams,Male,IT,Germany,2021-08-29,,Active,1448447,3.32,3,4.46,0.34
100135,Jasmine,Wilson,Female,HR,UK,2021-04-23,,Active,605579,4.42,3,4.81,0.12
100136,Elizabeth,Cole,Male,Finance,UK,2021-05-21,,Active,1652208,3.09,4,4.73,0.38
100137,Patrick,Fisher,Female,Operations,USA,2021-12-27,,Active,502135,4.08,5,4.13,0.18
100138,Michael,Wilkerson,Female,Finance,Singapore,2021-09-17,,Active,834050,3.01,4,4.41,0.4
100139,Christine,Palmer,Female,Marketing,India,2021-11-02,,Active,1472492,3.43,4,4.28,0.31
100140,Christina,Brown,Male,Marketing,Germany,2021-11-27,,Active,762650,4.25,3,4.21,0.15
100141,Curtis,Sandoval,Male,Operations,USA,2021-10-03,,Active,916241,3.39,4,4.36,0.32
100142,Richard,Duffy,Female,Sales,Singapore,2021-01-06,,Active,453389,3.05,1,5.1,0.39
100143,Kelly,Johnson,Male,Finance,Singapore,2021-09-25,,Active,723665,3.32,5,4.39,0.34
100144,Ann,Lester,Female,HR,India,2021-07-28,,Active,620522,4.34,3,4.55,0.13
100145,David,Johnson,Female,Finance,India,2021-06-14,,Active,470419,2.26,2,4.67,0.55
100146,Nicholas,Chavez,Female,Sales,UK,2021-10-20,,Active,1263114,3.8,1,4.32,0.24
100147,Jeremy,Sutton,Female,Marketing,India,2021-05-20,,Active,1146987,2.43,2,4.74,0.51
100148,Christina,Pennington,Male,IT,India,2021-07-08,,Active,1618928,4.63,4,4.6,0.07
100149,Daniel,Walker,Female,Finance,USA,2021-08-31,,Active,1030244,2.98,1,4.45,0.4
100150,Bradley,Dorsey,Female,HR,UK,2021-05-02,2023-06-18,Resigned,566954,3.16,4,4.79,0.37
100151,Jason,Garcia,Female,Operations,Singapore,2021-04-29,2023-02-02,Resigned,698278,2.48,1,4.79,0.5
100152,Raven,Martin,Male,Operations,Germany,2021-07-18,,Active,973925,4.26,5,4.58,0.15
100153,Richard,Jackson,Female,Finance,India,2021-10-18,,Active,472384,2.46,2,4.32,0.51
100154,Joshua,Snyder,Male,IT,India,2021-08-22,,Active,1792736,3.43,5,4.48,0.31
100155,Stephen,Perez,Male,Operations,USA,2021-01-18,,Active,686422,3.23,3,5.07,0.35
100156,Seth,Howell,Male,HR,USA,2021-12-27,,Active,799709,3.15,5,4.13,0.37
100157,Carol,Kemp,Male,Operations,Germany,2021-07-27,,Active,874728,3.38,1,4.55,0.32
100158,Joshua,Stewart,Female,HR,UK,2021-07-31,,Active,1004291,2.27,2,4.54,0.55
100159,Lawrence,Roberts,Male,Marketing,Singapore,2021-10-06,2023-12-17,Terminated,926790,2.74,1,4.36,0.45
100160,Keith,Clark,Male,Sales,Singapore,2021-11-05,,Active,796692,3.53,3,4.27,0.29
100161,Charles,Rivera,Female,HR,India,2021-09-21,,Active,490216,3.27,4,4.4,0.35
100162,Angela,Anderson,Female,Marketing,India,2021-04-24,,Active,1181304,3.5,4,4.81,0.3
100163,Brandi,Reynolds,Female,Operations,UK,2021-11-01,,Active,368451,3.11,2,4.28,0.38
100164,Ian,Mata,Female,IT,USA,2021-11-13,,Active,1281480,4.13,3,4.25,0.17
100165,John,Adkins,Male,Marketing,UK,2021-11-21,,Active,780311,3.26,2,4.23,0.35
100166,Monica,Gutierrez,Female,Marketing,UK,2021-07-07,,Active,759280,3.98,1,4.61,0.2
100167,Madeline,Guerrero,Male,Operations,USA,2021-07-04,,Active,705750,3.47,1,4.61,0.31
100168,Traci,Martin,Male,IT,Germany,2021-04-10,,Active,1005835,3.39,5,4.85,0.32
100169,Keith,Powell,Male,Marketing,UK,2021-07-17,2022-07-11,Terminated,1208328,2.98,3,4.58,0.4
100170,Jennifer,Proctor,Male,Sales,Singapore,2021-04-16,,Active,1318273,3.65,4,4.83,0.27
100171,Joseph,Phillips,Female,HR,UK,2021-03-20,,Active,360198,2.03,2,4.9,0.59
100172,Robert,King,Male,Operations,USA,2021-12-23,,Active,751588,4.94,5,4.14,0.01
100173,Zachary,Schmidt,Female,Operations,Singapore,2021-11-12,,Active,1195502,4.82,5,4.25,0.04
100174,Terri,Woods,Male,IT,USA,2021-02-17,,Active,1043634,2.38,2,4.99,0.52
100175,David,Hardy,Male,Marketing,Germany,2021-05-29,,Active,943161,3.5,2,4.71,0.3
100176,Karen,Stone,Male,Operations,Singapore,2021-02-04,,Active,575746,4.26,5,5.02,0.15
100177,Thomas,Richmond,Female,IT,Singapore,2021-09-21,,Active,765953,3.8,3,4.4,0.24
100178,Kevin,Price,Female,Sales,USA,2021-06-02,,Active,414261,3.85,2,4.7,0.23
100179,Sara,Roberts,Female,Operations,USA,2021-03-20,,Active,533594,2.66,2,4.9,0.47
100180,Sherry,Stone,Female,Marketing,UK,2021-07-27,,Active,847112,3.32,5,4.55,0.34
100181,Elizabeth,White,Female,HR,UK,2021-04-19,,Active,1202844,4.68,5,4.82,0.06
100182,Cameron,Moore,Male,Sales,Singapore,2021-02-26,,Active,873764,3.41,1,4.96,0.32
100183,Brian,Jimenez,Female,IT,Singapore,2021-10-20,2022-05-14,Resigned,1677146,3.86,5,4.32,0.23
100184,Robert,Lewis,Female,Finance,UK,2021-02-25,,Active,1370560,2.76,3,4.97,0.45
100185,Julie,Gonzalez,Female,IT,USA,2021-11-19,,Active,1147069,3.87,4,4.24,0.23
100186,Andrew,Sanchez,Male,Sales,Germany,2021-03-07,,Active,901302,2.95,2,4.94,0.41
100187,Omar,Hanna,Female,Operations,USA,2021-09-17,,Active,596493,3.33,1,4.41,0.33
100188,Henry,Blackwell,Male,HR,USA,2021-12-02,,Active,449522,2.55,3,4.2,0.49
100189,Melissa,Warren,Male,HR,India,2021-03-19,,Active,979102,3.58,1,4.91,0.28
100190,Michael,Alexander,Female,IT,Germany,2021-05-08,,Active,1833425,4.24,4,4.77,0.15
100191,Adam,Rocha,Female,Operations,Singapore,2021-07-29,,Active,561337,2.49,1,4.55,0.5
100192,Jeremy,Randolph,Male,Finance,India,2021-05-15,,Active,735146,3.05,4,4.75,0.39
